id,pair_id,message,label,language,split_role,source,source_id,is_synthetic,channel,role,persona,pattern,qc_status,notes
ib_v1_000001,p_001,"Bhai mera phone toot gaya, yeh naya number hai. Mummy ko clinic le jaana hai, 4500 is UPI pe abhi bhej de: 9876512340@ybl. Abhi mat call karna, battery nahi hai.",IMPERSONATION_SCAM,Hinglish,train,human,,True,whatsapp,scammer,brother,phone_broken,gold,clinic money topic; scam adds new number + new UPI + don't call
ib_v1_000002,p_001,Bhai kal clinic ke baad ghar aa raha hun. Medicines ka 500 tere last wale UPI pe shaam tak bhej dunga. 7 baje phone pe baat kar lena.,LEGIT_PERSONAL,Hinglish,train,human,,True,whatsapp,personal,brother,phone_broken,gold,clinic money topic; scam adds new number + new UPI + don't call
ib_v1_000003,p_002,"Bro screen smash ho gaya, yeh cousin ke number se likh raha hun. Auto wale ko 1200 dena hai abhi, UPI kar de 8811122233@paytm pe. Baad mein samjhaunga.",IMPERSONATION_SCAM,Hinglish,train,human,,True,whatsapp,scammer,brother,phone_broken,gold,auto fare; legit repayment on known GPay
ib_v1_000004,p_002,"Bro auto ka 1200 kal tere GPay pe return kar dunga, same number jo last week use kiya. Screen repair Monday ko karwaunga, abhi tension mat le.",LEGIT_PERSONAL,Hinglish,train,human,,True,whatsapp,personal,brother,phone_broken,gold,auto fare; legit repayment on known GPay
ib_v1_000005,p_003,"Yaar mera handset drown ho gaya bathroom mein. Temporary SIM se msg hai. 3000 bhej de 7007007000@oksbi pe, landlord rent maang raha hai aaj. Call mat karna yeh number unknown hai.",IMPERSONATION_SCAM,Hinglish,train,human,,True,whatsapp,scammer,friend,phone_broken,gold,rent; scam uses unknown number + don't call
ib_v1_000006,p_003,"Yaar rent ka 3000 jo tune advance diya tha, 3 tarikh ko tere hi UPI pe wapas kar dunga. Naya SIM nahi hai, yeh mera hi WhatsApp hai.",LEGIT_PERSONAL,Hinglish,train,human,,True,whatsapp,personal,friend,phone_broken,gold,rent; scam uses unknown number + don't call
ib_v1_000007,p_004,"Papa phone gir ke kharab ho gaya. Neighbour ke mobile se likh raha hun. Gas cylinder wale ko 1100 UPI kar do is id pe cylinder-help@ybl. Jaldi, woh nikalne wala hai.",IMPERSONATION_SCAM,Hinglish,train,human,,True,whatsapp,scammer,parent,phone_broken,gold,gas cylinder; legit stays on official/usual channel
ib_v1_000008,p_004,"Papa gas booking mera usual number se ho gayi, 1100 Indane app se hi katega. Neighbour ke phone ki zarurat nahi, shaam ko ghar pe milte hain.",LEGIT_PERSONAL,Hinglish,train,human,,True,whatsapp,personal,parent,phone_broken,gold,gas cylinder; legit stays on official/usual channel
ib_v1_000009,p_005,"Didi mera iPhone repair shop mein chhod diya, yeh shop wale ka number hai. Cab ke liye 850 UPI kar de 9988776655@ibl pe. Abhi nikalna hai, call later.",IMPERSONATION_SCAM,Hinglish,train,human,,True,whatsapp,scammer,sister,phone_broken,gold,cab split vs new shop-number UPI
ib_v1_000010,p_005,"Didi cab ka 850 split kal tere PhonePe pe bhej dungi, jo Diwali pe use kiya tha. iPhone service centre se Monday mil jayega.",LEGIT_PERSONAL,Hinglish,train,human,,True,whatsapp,personal,sister,phone_broken,gold,cab split vs new shop-number UPI
