id,split,message,true_label,predicted_label,pattern,persona,channel,pair_id,has_upi_handle,error_type,severity,notes
ib_v1_000178,val,"1800 stationery I'll refund on the office reimbursement tomorrow, your known UPI not needed today. Group mein already noted.",LEGIT_PERSONAL,OTHER_SCAM,return_tomorrow,colleague,whatsapp,p_089,False,template_overlap,high,Matched-pair twin (p_089): scam sibling has @ybl + urgency; legit sibling shares 1800/refund/group wording so model flags OTHER_SCAM.
ib_v1_000251,val,"Sir refund lene ke liye UPI request accept kar do, warna amount lapse ho jayega.",OTHER_SCAM,LEGIT_TRANSACTIONAL,refund,none,whatsapp,,False,brand_alert_confusion,medium,Fake refund UPI-request scam reads like a real refund SMS; model under-reacts and calls it LEGIT_TRANSACTIONAL.
ib_v1_000302,val,"HDFC: koi pending RTGS nahi. Helpline 1860-266-0333, random number pe mat call.",LEGIT_TRANSACTIONAL,LEGIT_PERSONAL,transactional,none,sms,,False,brand_alert_confusion,low,"Hinglish HDFC RTGS alert with 'mat call' sounds like a personal chat; wrong legit sub-bucket, no scam alarm raised."
ib_v1_000308,val,"Flipkart aaj 4-6. OTP sirf door pe partner ko, call pe nahi.",LEGIT_TRANSACTIONAL,IMPERSONATION_SCAM,transactional,none,sms,,False,brand_alert_confusion,medium,"Real Flipkart delivery OTP alert triggers impersonation cues (OTP, don't share on call) — false impersonation alarm."
ib_v1_000354,val,"Bhai BGMI mein Mythic M416 skin bech raha hoon original, Rs 500 only. Account transfer kar dunga. UPI karo: bgmi-skin-trade@okbizaxis",IMPERSONATION_SCAM,OTHER_SCAM,trusted_contact,friend,whatsapp,,True,impersonation_as_other_scam,low,BGMI skin marketplace scam with 'Bhai' + UPI; model sees brand/fraud template not trusted-contact impersonation — user still gets a scam flag.
ib_v1_000134,test,"Don't tell Rohit about the gift. 250 for wrapping, send on my old GPay when you can. No new UPI, chat rakh bhi sakte ho.",LEGIT_PERSONAL,IMPERSONATION_SCAM,secrecy,friend,whatsapp,p_067,False,template_overlap,high,Matched-pair twin (p_067): legit gift message copies secrecy opener ('Don't tell Rohit') from scam sibling; model cries wolf on a friend.
ib_v1_000301,test,HDFC: no pending RTGS on your account. Official helpline is 1860-266-0333 only.,LEGIT_TRANSACTIONAL,OTHER_SCAM,transactional,none,sms,,False,brand_alert_confusion,medium,Official HDFC RTGS helpline SMS looks like generic bank phishing to the model — noisy alert on a real transactional message.
ib_v1_000305,test,Your refund of Rs 1200 is being processed. Credit in 3-5 days to the original account.,LEGIT_TRANSACTIONAL,OTHER_SCAM,transactional,none,sms,,False,brand_alert_confusion,medium,Benign refund-status update shares vocabulary with refund scams; flagged as OTHER_SCAM.
ib_v1_000342,test,"Dear BSNL user, your plan expires on 20-Mar-2024. Recharge with Rs 299 pack to continue services. Visit bsnl.co.in or nearest retailer.",LEGIT_TRANSACTIONAL,OTHER_SCAM,transactional,none,sms,,False,brand_alert_confusion,medium,Real BSNL plan-expiry recharge SMS reads like telecom phishing; same failure mode as other brand alerts.
ib_v1_000353,test,UPI Circle invitation: Your friend Rajesh added you as secondary user. Click to accept and earn Rs 500 cashback: https://upi-circle-accept.npci-in.click,IMPERSONATION_SCAM,OTHER_SCAM,trusted_contact,friend,whatsapp,,False,impersonation_as_other_scam,medium,UPI Circle phishing is labeled impersonation but reads as link/brand fraud; wrong 4-class bucket though a collapsed 'any scam' warning would still fire.
